#              k               1              b1              b2              b3              b4           b1*b1           b1*b2           b1*b3           b1*b4           b2*b2           b2*b4           b4*b4           b1*b5           b1*b6           b1*b7              b5              b6              b7
           0.005        -7.02465        -5.92923        -10.8567        -2.66439        -10.9578        -42.4005         77.9625        -11.1807         51.2396        -36.7785        -46.0151        -8.86408          1.0406        0.348524        0.209546        0.248153        0.149199        0.106694      0.00015732     5.88833e-05     3.69947e-05     4.19256e-05     2.63406e-05     1.92865e-05
          0.0075        -19.3176        -23.8175        -22.6521        -7.28242        -22.9633        -97.5976         175.336        -30.5955         118.656         -81.214        -102.614        -20.0616         2.93331        0.981259        0.589675        0.698668        0.419856        0.300161     0.000328077     0.000116645     7.18948e-05     8.30527e-05       5.119e-05     3.71095e-05
            0.01        -37.3357        -53.9544        -36.0739        -14.0216        -36.6302        -172.905         305.641        -58.9599         213.428        -138.644        -177.101        -35.3217         5.84045         1.95233         1.17288         1.39008        0.835106        0.596935     0.000918083     0.000331363      0.00020544     0.000235934     0.000146275     0.000106373
          0.0125        -59.4737        -93.9365         -49.515        -22.2656         -50.207        -265.722         464.498        -93.7018         334.534         -206.12        -266.289        -54.3642         9.60492         3.20869         1.92717         2.28462         1.37217        0.980698      0.00208846     0.000730328     0.000447247     0.000520002     0.000318445     0.000230065
           0.015         -83.705        -139.669         -61.902        -31.2741        -62.4835        -372.511         647.219        -131.723         479.599        -281.069        -367.181        -76.8748         13.9681         4.66353         2.80031         3.32049         1.99386         1.42485      0.00385825      0.00133761     0.000816343     0.000952395     0.000581246     0.000419163
          0.0175        -108.036        -186.827        -72.4295        -40.3352        -72.5415        -489.702         849.567        -170.037         646.167        -361.368        -477.371        -102.714          18.658         6.22572         3.73751         4.43278         2.66115         1.90149      0.00693211      0.00239871       0.0014628      0.00170791      0.00104153     0.000750782
            0.02         -130.87          -231.5        -80.8395        -48.9104        -80.0926        -613.315         1067.01        -206.372          830.47        -445.261        -594.581        -131.544         23.4166         7.80895          4.6869         5.56006         3.33713         2.38421       0.0107977      0.00370154      0.00224883      0.00263554      0.00160119      0.00115188
           0.025        -167.635        -301.755        -91.3255        -63.1866        -87.7703        -866.425         1532.51        -267.077         1238.64         -619.23        -844.285        -197.663         32.3443         10.7748         6.46442         7.67178         4.60274         3.28777       0.0228084      0.00780108      0.00473529      0.00555446      0.00337158      0.00242436
            0.03         -190.94        -340.813        -95.0785        -73.2374        -87.7765        -1112.33         2018.32        -310.016         1677.68        -796.541        -1107.41        -273.746         39.9463         13.2984          7.9767         9.46861          5.6795         4.05649       0.0400676       0.0136945      0.00831088      0.00975068      0.00591744      0.00425462
           0.035        -204.437        -356.879        -94.4508         -80.274        -83.1287        -1345.98         2508.05        -340.165         2128.65        -974.225         -1379.2        -358.412          46.489         15.4737         9.28149         11.0175         6.60853         4.72014       0.0628373       0.0214605        0.013021       0.0152802       0.0092711       0.0066653
            0.04         -214.15        -365.858        -90.8895        -86.1025        -75.6549        -1572.85         2993.82         -365.16         2582.05        -1150.99        -1657.07        -450.413          52.771         17.5662         10.5377         12.5073         7.50296         5.35944       0.0924989       0.0315728       0.0191537       0.0224802       0.0136376      0.00980403
           0.045        -225.968        -384.825         -84.594        -92.3393        -65.5405        -1804.58         3473.81        -392.036         3035.98        -1326.06        -1939.15        -548.609         59.7334         19.8778         11.9236         14.1532         8.48974         6.06422        0.131941       0.0450102       0.0273004       0.0320478       0.0194382       0.0139729
            0.05         -241.14         -418.21        -75.0206        -99.2401        -51.9801        -2046.24         3948.64         -422.07         3491.81        -1498.54        -2223.51        -651.983         67.6173         22.4761         13.4764         16.0033         9.59536         6.85246        0.183708       0.0625901       0.0379437       0.0445649       0.0270164       0.0194149
           0.055        -258.126        -462.235         -61.649        -106.293        -34.1798        -2296.92          4418.5        -453.199         3950.35        -1667.38        -2508.02        -759.577         76.1465           25.26          15.133         17.9854         10.7749         7.69141        0.249115       0.0846642       0.0512728       0.0602819       0.0365068       0.0262204
            0.06        -273.399        -505.594        -44.5551        -112.696        -12.0999        -2545.34         4881.56        -482.013         4409.63         -1831.6        -2790.66        -870.555         84.7477         28.0352         16.7764         19.9614          11.945         8.52132        0.328044        0.111096       0.0671823        0.079102       0.0478346       0.0343292
           0.065          -281.6        -531.575        -24.6377        -116.963         13.2266        -2776.88         5333.69        -501.777          4864.3        -1990.48        -3069.81        -984.189         92.1443         30.4013         18.1724         21.6461          12.939         9.22503        0.416604        0.140636       0.0849342        0.100134       0.0604741       0.0433697
            0.07        -280.241        -530.359        -3.39811        -118.621          39.971        -2977.67          5769.6        -510.049         5307.05        -2143.74        -3344.41        -1099.81         97.6659         32.1631         19.2113         22.9005         13.6786         9.74855        0.510714        0.172067        0.103836        0.122514       0.0739328       0.0530002
           0.075        -269.671        -501.128         17.5269        -117.824         66.1064        -3142.65         6184.13        -507.137         5730.54        -2291.37        -3613.71        -1216.68         101.113         33.2809         19.8756         23.6964         14.1516         10.0849        0.606455        0.204285        0.123276        0.145454       0.0877738       0.0629227
            0.08        -253.169        -452.776         36.8507        -115.417         90.0354        -3276.92         6573.82         -496.57         6129.49        -2433.52        -3877.17        -1334.01         102.954         33.9197         20.2664         24.1512           14.43         10.2861        0.702636        0.237033        0.143131         0.16877        0.101911       0.0730848
           0.085        -235.263        -399.222         53.9416        -112.485         110.986        -3393.23         6937.89        -483.222         6502.09        -2570.48        -4134.49        -1451.06         104.055         34.3543          20.545         24.4606         14.6283         10.4328        0.801928        0.271216         0.16395        0.193109        0.116734       0.0837652
            0.09        -219.982        -353.758         68.8564        -109.955         129.057        -3506.55         7278.32        -471.481         6850.12        -2702.66        -4385.68        -1567.26         105.324         34.8558         20.8661         24.8178         14.8569         10.6018        0.910382        0.308726        0.186833        0.219817        0.133027       0.0955143
           0.095        -209.636        -324.695         82.1457        -108.354         144.972        -3628.47         7598.83        -464.061         7177.72         -2830.4        -4630.84        -1682.25          107.42         35.6064         21.3298         25.3522         15.1871         10.8414         1.03506        0.351636        0.212952        0.250369        0.151625        0.108908
             0.1        -204.574        -314.106         94.5533         -107.76         159.696        -3764.74         7903.54        -461.623         7489.73        -2953.95           -4870        -1795.72         110.593         36.6596          21.961         26.1021         15.6365         11.1623         1.18092        0.401214        0.242975        0.285669        0.173001        0.124261
           0.105        -203.436        -318.099         106.726        -107.892          174.07        -3913.69          8195.6        -463.062         7789.98         -3073.3        -5102.91        -1907.39          114.68         37.9478         22.7165         27.0193         16.1744         11.5419         1.34897         0.45744        0.276809        0.325703        0.197091        0.141503
            0.11        -203.941        -329.134         119.037        -108.287          188.59        -4068.15         8477.15        -466.267         8080.99        -3188.48        -5329.48        -2017.16          119.23         39.3282         23.5127         28.0021         16.7413         11.9383         1.53653        0.519263        0.313792        0.369721        0.223423        0.160293
           0.115        -203.511        -338.097          131.53        -108.418         203.326         -4217.6         8749.05        -468.572         8363.66        -3299.63        -5549.85        -2125.04         123.589         40.6147         24.2461         28.9182         17.2635         12.3012          1.7372        0.584762         0.35283        0.416357        0.251219        0.180091
            0.12        -200.084        -337.007         143.919        -107.881         217.933        -4350.74         9010.81        -467.733         8637.09        -3406.93        -5764.27         -2231.1         127.113         41.6427         24.8296         29.6501          17.679         12.5894         1.94139        0.651408        0.392566         0.46381        0.279511        0.200249
           0.125        -192.948        -322.493         155.856        -106.524         231.976        -4461.17         9261.43        -462.629         8899.81        -3510.48        -5972.81        -2335.31         129.438         42.3372         25.2289         30.1446         17.9632         12.7881         2.14177        0.717503        0.432152        0.510871        0.307697        0.220381
            0.13        -183.109        -297.525         166.954        -104.547         244.967        -4550.94         9499.62        -454.064         9149.91        -3610.39        -6175.46        -2437.55         130.699         42.7531         25.4786         30.4407         18.1411         12.9154         2.33629        0.782773        0.471513        0.557344        0.335723        0.240472
           0.135        -171.888        -266.554         176.974        -102.211         256.605        -4624.87         9724.61        -443.287          9386.2        -3706.77        -6372.25        -2537.71         131.182         42.9791           25.63         30.6016         18.2489         12.9967         2.52644        0.847905        0.511095        0.603718        0.363905        0.260754
            0.14        -160.829        -235.269         185.879        -99.8198         266.846         -4690.9         9936.89        -431.915         9608.99        -3799.85        -6563.46        -2635.77         131.336         43.1361         25.7486         30.7134         18.3333         13.0634         2.71889        0.914804        0.551955        0.651351        0.392999        0.281741
           0.145         -151.05        -208.086         193.757         -97.603           275.8        -4756.19         10137.4        -421.298         9819.17        -3889.88        -6749.37        -2731.74         131.563         43.3217         25.8846         30.8455         18.4301         13.1388         2.92115        0.985396        0.595111        0.701614        0.423726        0.303912
            0.15        -143.194        -187.864         200.814        -95.6951         283.729        -4826.47         10327.4        -412.343         10018.3        -3976.96        -6930.05        -2825.56         132.177          43.603         26.0698         31.0458          18.562         13.2371         3.14107          1.0614        0.641393        0.755732         0.45668        0.327639
           0.155        -137.244         -174.97         207.265        -94.1178          290.91        -4904.21         10508.5        -405.376         10208.1        -4061.29        -7105.77        -2917.25         133.314         43.9972          26.309         31.3266         18.7323         13.3593         3.38259         1.14336        0.690959        0.814084        0.491971        0.352963
            0.16        -132.537        -167.113         213.283        -92.7608         297.564        -4986.97         10681.6        -399.877         10389.7        -4142.79        -7276.32        -3006.69          134.84         44.4613         26.5771          31.657         18.9232          13.493         3.64434         1.23057        0.743365        0.876184        0.529285        0.379651
            0.17        -124.313        -156.552         224.389        -90.2657         309.765        -5154.23         11007.7        -390.698           10733        -4298.13        -7603.29        -3179.35          138.27         45.4043            27.1         32.3284         19.2955         13.7483          4.2133         1.41659        0.854409         1.00863        0.608349        0.436033
            0.18        -114.689        -139.663          234.24        -87.5016         320.484        -5300.05         11309.4        -380.022         11051.5        -4443.99        -7912.63        -3344.16         140.837         46.0895         27.4768         32.8163         19.5638         13.9319         4.80315         1.60945        0.969637         1.14595        0.690393        0.494585
